OBJECTID,RSPB_Reference,County,Country,Incident_Type,Month,Year,Grid_Square,Details,More_info here,GlobalID
4895,95558,Highland,Scotland,Persecution (Other),January,2012,NN78,Species involved: Golden Eagle x1,No Link,9cfdc2ba-8d41-42e1-8fda-945800847404
4896,95565,Powys,Wales,Poisoning,October,2012,SN92,Species involved: Red Kite x1. Tested positive for: Bendiocarb,No Link,3a3f6154-6989-4d8a-bd6c-8964117eced8
4897,95566,East Riding of Yorkshire,England,Poisoning,November,2012,SE96,Species involved: Buzzard x1. Tested positive for: Aldicarb,https://community.rspb.org.uk/ourwork/b/investigations/archive/2014/05/30/one-man-s-poison.aspx,f4b81d00-93aa-4cc5-a602-3fa6c61166fa
4898,95588,Highland,Scotland,Shooting,January,2012,NJ02,Species involved: Short-eared Owl x1,No Link,533eee4e-321d-4d7e-a7e1-6a6df3b65d85
4899,95589,Scottish Borders,Scotland,Poisoning,May,2012,NT55,Species targeted: Birds of Prey. Species involved: Raven x2; poison bait (Meat x1). Tested positive for: Bendiocarb,No Link,7b2d8d65-57d8-4b15-b41b-dcb5c2871553
4900,95592,Dumfries and Galloway,Scotland,Poisoning,December,2012,NX43,Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Carbofuran,No Link,a65280c9-b5f1-4a07-bf00-8b604f50f68b
4901,95594,Antrim,Northern Ireland,Shooting,July,2012,J29,Species involved: Peregrine Falcon x1,No Link,a98ee91e-6d13-4db5-aebe-daae6547a791
4902,95603,Perth and Kinross,Scotland,Trapping,November,2012,NN82,Species targeted: Birds of Prey,No Link,a3fd550b-3576-4eb7-9341-8b81fbe2dde0
4903,95625,North Yorkshire,England,Shooting,May,2012,SE69,Species involved: Sparrowhawk x1,No Link,041aee1e-d468-47b6-8fd7-415ce94bea83
4904,95630,South Lanarkshire,Scotland,Nest Destruction,June,2012,NS91,Species targeted: Goshawk nest,No Link,627e12a4-c11f-4ccc-8cbf-e62d7774e7c2
4905,95644,Perth and Kinross,Scotland,Trapping,January,2012,NN82,Species involved: Buzzard x1,No Link,069c39d3-1fed-429c-ac8e-d78db5829d97
